% x,y,c (mol/m^3) @ t=0,c (mol/m^3) @ t=100,c (mol/m^3) @ t=200,c (mol/m^3) @ t=300,c (mol/m^3) @ t=400,c (mol/m^3) @ t=500,c (mol/m^3) @ t=600,c (mol/m^3) @ t=700,c (mol/m^3) @ t=800,c (mol/m^3) @ t=900,c (mol/m^3) @ t=1000,c (mol/m^3) @ t=1100,c (mol/m^3) @ t=1200,c (mol/m^3) @ t=1300,c (mol/m^3) @ t=1400,c (mol/m^3) @ t=1500,c (mol/m^3) @ t=1600,c (mol/m^3) @ t=1700,c (mol/m^3) @ t=1800,c (mol/m^3) @ t=1900,c (mol/m^3) @ t=2000,c (mol/m^3) @ t=2100,c (mol/m^3) @ t=2200,c (mol/m^3) @ t=2300,c (mol/m^3) @ t=2400,c (mol/m^3) @ t=2500,c (mol/m^3) @ t=2600,c (mol/m^3) @ t=2700,c (mol/m^3) @ t=2800,c (mol/m^3) @ t=2900,c (mol/m^3) @ t=3000
0,659.99868,6.85E-04,7.09E-04,7.34E-04,7.62E-04,7.91E-04,8.24E-04,8.59E-04,8.97E-04,9.39E-04,9.85E-04,0.001035587,0.001093207,0.001156433,0.001226243,0.001309031,0.001401291,0.001505201,0.001635018,0.001782925,0.001955044,0.002191452,0.002470172,0.002818723,0.003417201,0.004166849,0.00509174,0.006501511,0.00902321,0.014639067,0.031921691,3.74E+09
48.56826338,629.9811056,7.36E-04,7.62E-04,7.89E-04,8.18E-04,8.50E-04,8.85E-04,9.23E-04,9.63E-04,0.001009116,0.001058631,0.001112574,0.001174477,0.001242404,0.001317404,0.001406346,0.001505465,0.001617099,0.001756567,0.00191547,0.002100385,0.002354367,0.002653808,0.003028271,0.00367124,0.004476618,0.005470267,0.006984842,0.009694008,0.015727355,0.034294791,3.74E+09
0,719.99856,5.88E-04,6.08E-04,6.30E-04,6.54E-04,6.79E-04,7.07E-04,7.37E-04,7.69E-04,8.06E-04,8.45E-04,8.88E-04,9.38E-04,9.92E-04,0.001051925,0.001122944,0.001202088,0.001291227,0.00140259,0.001529471,0.001677123,0.001879923,0.002119021,0.002418024,0.002931424,0.003574505,0.004367918,0.00557728,0.007740505,0.012558032,0.027383826,3.74E+09
48.57900022,689.9928536,6.36E-04,6.58E-04,6.81E-04,7.07E-04,7.34E-04,7.64E-04,7.97E-04,8.32E-04,8.71E-04,9.14E-04,9.61E-04,0.00101423,0.001072889,0.001137656,0.001214463,0.001300057,0.001396461,0.0015169,0.001654121,0.001813806,0.002033135,0.00229172,0.002615091,0.003170333,0.003865824,0.004723899,0.006031823,0.008371348,0.013581499,0.029615579,3.74E+09
780,0,0.001535533,0.001588505,0.001645346,0.001706749,0.001772927,0.001845617,0.001924206,0.002009253,0.002104407,0.002207666,0.002320157,0.00244925,0.002590904,0.002747308,0.002932789,0.00313949,0.003372292,0.003663139,0.003994513,0.004380135,0.004909789,0.00553424,0.006315145,0.00765599,0.009335522,0.011407673,0.014566161,0.020215843,0.032797754,0.071518178,3.74E+09
750,48.58392798,0.001528835,0.001581576,0.001638169,0.001699305,0.001765194,0.001837567,0.001915814,0.002000489,0.002095228,0.002198037,0.002310037,0.002438568,0.002579604,0.002735326,0.002919997,0.003125797,0.003357584,0.003647162,0.003977091,0.004361031,0.004888374,0.005510102,0.006287601,0.007622598,0.009294804,0.011357917,0.014502629,0.02012767,0.032654704,0.071206245,3.74E+09
840,0,0.001535533,0.001588505,0.001645346,0.001706749,0.001772927,0.001845617,0.001924206,0.002009253,0.002104407,0.002207666,0.002320157,0.00244925,0.002590904,0.002747308,0.002932789,0.00313949,0.003372292,0.003663139,0.003994513,0.004380135,0.004909789,0.00553424,0.006315145,0.00765599,0.009335522,0.011407673,0.014566161,0.020215843,0.032797754,0.071518178,3.74E+09
810,48.58392798,0.001528835,0.001581576,0.001638169,0.001699305,0.001765194,0.001837567,0.001915814,0.002000489,0.002095228,0.002198037,0.002310037,0.002438568,0.002579604,0.002735326,0.002919997,0.003125797,0.003357584,0.003647162,0.003977091,0.004361031,0.004888374,0.005510102,0.006287601,0.007622598,0.009294804,0.011357917,0.014502629,0.02012767,0.032654704,0.071206245,3.74E+09
0,779.99844,4.98E-04,5.15E-04,5.33E-04,5.53E-04,5.75E-04,5.98E-04,6.24E-04,6.51E-04,6.82E-04,7.16E-04,7.52E-04,7.94E-04,8.40E-04,8.90E-04,9.51E-04,0.001017546,0.001093,0.001187267,0.001294669,0.001419654,0.001591321,0.001793713,0.002046813,0.002481397,0.003025753,0.003697362,0.004721066,0.006552196,0.010630146,0.023179912,3.74E+09
48.58300852,749.9973618,5.42E-04,5.61E-04,5.81E-04,6.02E-04,6.26E-04,6.51E-04,6.79E-04,7.09E-04,7.43E-04,7.79E-04,8.19E-04,8.64E-04,9.14E-04,9.69E-04,0.001034885,0.001107823,0.001189971,0.001292602,0.001409533,0.001545606,0.001732503,0.001952852,0.002228408,0.002701548,0.0032942,0.004025394,0.005139921,0.00713351,0.011573257,0.025236443,3.74E+09
0,839.99832,4.16E-04,4.30E-04,4.45E-04,4.62E-04,4.80E-04,5.00E-04,5.21E-04,5.44E-04,5.70E-04,5.98E-04,6.28E-04,6.63E-04,7.01E-04,7.44E-04,7.94E-04,8.50E-04,9.13E-04,9.92E-04,0.001081398,0.001185794,0.001329183,0.001498235,0.001709642,0.002072637,0.002527322,0.003088297,0.003943366,0.005472854,0.008879045,0.019361493,3.74E+09
